name,year
"""Po goryachim sledam"" (2011) {Posledniy poezd, posledniy vagon (#1.2)}",2011
"""Po goryachim sledam"" (2011) {Propavshie podrugi (#1.6)}",2011
"""Po goryachim sledam"" (2011) {Svoy chuzhoy (#1.13)}",2011
"""Po goryachim sledam"" (2011) {Taksist (#1.3)}",2011
"""Po goryachim sledam"" (2011) {Veterinar (#1.14)}",2011
"""Po goryachim sledam"" (2011) {Zloy duh iz sanatoriya (#1.16)}",2011
"""Po imeni Baron"" (2002)",2002
"""Po lezviyu britvy"" (2012)",2012
"""Po sledu zverya"" (2014)",2014
"""Po tu storonu volkov"" (2002)",2002
"""Po tu storonu voyny"" (2004)",2004
"""Pobednyy veter, yasnyy den"" (2009)",2009
"""Pobeg 2"" (2012)",2012
"""Pobeg"" (2010)",2010
"""Pochtalon"" (2008)",2008
"""Pochtoviy chetverg"" (2015)",2015
"""Pod Bolshoy medveditsey"" (2006)",2006
"""Pod kablukom"" (2014)",2014
"""Pod livnem pul"" (2006)",2006
"""Pod nebom Verony"" (2005)",2005
"""Pod prikrytiem"" (2013)",2013
"""Pod pritselom"" (2013)",2013
"""Pod znakom luny"" (2015)",2015
"""Podari mne zhizn"" (2003)",2003
"""Podarok sudby"" (2010)",2010
"""Podkidnoy"" (2005)",2005
"""Podozrenie"" (2015)",2015
"""Podstrochnik"" (2009)",2009
"""Podzemnyy perekhod"" (2012)",2012
"""Poedinki"" (2009)",2009
"""Poezd na sever"" (2013)",2013
"""Pogonya za angelom"" (2007)",2007
"""Pogonya za tenyu"" (2011)",2011
"""Pogonya za tremya zaytsami"" (2015)",2015
"""Pogruzhenie"" (2013)",2013
"""Pohishenie Evropy"" (2005)",2005
"""Poiski ulik"" (2014)",2014
"""Poka Shiva tantsuyet"" (2012)",2012
"""Poka stanitsa spit"" (2013)",2013
"""Poka tsvetet paporotnik"" (2012)",2012
"""Pokhozhdeniya notariusa Neglintseva"" (2009)",2009
"""Polet babochki"" (2013)",2013
"""Poligon"" (2012)",2012
"""Politseyskiy s Rublyovki"" (2016)",2016
"""Politseyskiy uchastok"" (2015)",2015
"""Polkino"" (2010)",2010
"""Polkino"" (2010) {(#1.12)}",2010
"""Polkino"" (2010) {(#1.14)}",2010
"""Polkino"" (2010) {(#1.15)}",2010
"""Polkino"" (2010) {(#1.16)}",2010
"""Polkino"" (2010) {(#1.18)}",2010
"""Polkino"" (2010) {(#1.19)}",2010
"""Polkino"" (2010) {Vypusk 37 (#1.21)}",2010
"""Polkino"" (2010) {Vypusk 39 (#1.22)}",2010
"""Polkino"" (2010) {Vypusk 40 (#1.23)}",2010
"""Polkino"" (2010) {Vypusk 41 (#1.24)}",2010
"""Polkino"" (2010) {Vypusk 42 (#1.25)}",2010
"""Polkino"" (2010) {Vypusk 43 (#1.26)}",2010
"""Polkino"" (2010) {Vypusk 44 (#1.27)}",2010
"""Polniy Modern!"" (1999)",1999
"""Polnyy vperyod!"" (2005)",2005
"""Polosatoe schaste"" (2012)",2012
"""Polosatoye leto"" (2003)",2003
"""Polovinki"" (2012)",2012
"""Ponchik Lyusya"" (2011)",2011
"""Ponyat. Prostit"" (2006)",2006
"""Popytka Very"" (2010)",2010
"""Popytka k begstvu"" (2007)",2007
"""Poroki i ikh poklonniki"" (2006)",2006
"""Portret na fone"" (1991)",1991
"""Posle 'Moey zhizni v iskusstve'"" (2012)",2012
"""Posledniy boy"" (2014)",2014
"""Posledniy bronepoezd"" (2006)",2006
"""Posledniy geroy"" (2001)",2001
"""Posledniy iz Magikyan"" (2013)",2013
"""Posledniy khod korolevy"" (2015)",2015
"""Posledniy ment"" (2015)",2015
"""Posledniy sekret Mastera"" (2010)",2010
"""Posledniy yanychar"" (2014)",2014
"""Poslednyaya elektrichka"" (2014)",2014
"""Poslednyaya minuta"" (2011)",2011
"""Poslednyaya reproduktsiya"" (2008)",2008
"""Poslednyaya vstresha"" (2010)",2010
"""Posmotrim"" (2013)",2013
"""Poteryavshye solntse"" (2005)",2005
"""Potseluyte nevestu"" (2013)",2013
"""Povinnost"" (1998)",1998
"""Povorot naoborot"" (2013)",2013
"""Povoroty sudby"" (2009)",2009
"""Povoroty sudby"" (2013)",2013
"""Povoroty sudby"" (2013) {(#1.1)}",2013
"""Povoroty sudby"" (2013) {(#1.2)}",2013
"""Povoroty sudby"" (2013) {(#1.3)}",2013
"""Povoroty sudby"" (2013) {(#1.4)}",2013
"""Povoroty sudby"" (2013) {(#1.5)}",2013
"""Povoroty sudby"" (2013) {(#1.6)}",2013
"""Povoroty sudby"" (2013) {(#1.7)}",2013
"""Povoroty sudby"" (2013) {(#1.8)}",2013
"""Povtori!"" (2013)",2013
"""Pozdnie cvety"" (2014)",2014
"""Poznavaya mir s Viktorom Puzo"" (2010)",2010
"""Pozner"" (2008)",2008
"""Pozyvnoy Staya 2"" (2014)",2014
"""Pozyvnoy Staya"" (2013)",2013
"""Praktika"" (2014)",2014
"""Pravda skryvaet lozh"" (2009)",2009
"""Pravda zhizni"" (2012)",2012
"""Pravila maskarada"" (2011)",2011
"""Pravila ugona"" (2009)",2009
"""Pravilniy dom"" (2006)",2006
"""Pravo na lyubov"" (2005)",2005
"""Pravo na pravdu"" (2012)",2012
"""Predchuvstvie"" (2013)",2013
"""Predel zhelaniy"" (2007)",2007
"""Prestuplenie budet raskryto"" (2008)",2008
"""Prestuplenie i nakazanie"" (2007)",2007
"""Pri zagadochnykh obstoyatelstvakh"" (2009)",2009
"""Priisk"" (2007)",2007
"""Priisk: Zolotaya likhoradka"" (2006)",2006
"""Prikazano unichtozhit. Operatsiya 'Kitayskaya shkatulka"" (2009)",2009
"""Priklyucheniya maga"" (2002)",2002
"""Priklyucheniya v Izumrudnom Gorode"" (1999)",1999
"""Priklyucheniya v Izumrudnom Gorode"" (1999) {Printsessa Ozma (#1.4)}",1999
"""Priklyucheniya v Izumrudnom Gorode"" (1999) {Serebryanye tufelki (#1.1)}",1999
"""Prikoly na peremenke"" (2010)",2010
"""Prikoly na peremenke. Novaya shkola"" (2011)",2011
"""Priletit vdrug volshebnik"" (2007)",2007
"""Primadonna"" (2005)",2005
"""Prints Sibiri"" (2014)",2014
"""Printsessa i nishchenka"" (2009)",2009
"""Printsessa i nishchiy"" (2004)",2004
"""Printsessa s Severa"" (2014)",2014
"""Printsessa tsirka"" (2007)",2007
"""Printsip Khabarova"" (2013)",2013
"""Printsip domino"" (2001)",2001
"""Prisyazhnye krasoty"" (2014)",2014
"""Privet ot Katyushi"" (2013)",2013
"""Pro lyubov"" (2008)",2008
"""Prodolzhenie sleduet"" (2008)",2008
"""Proekt 'Zolotoy glaz'"" (2014)",2014
"""ProfeSSionaly"" (2012)",2012
"""Professionaly"" (2012)",2012
"""Professiya: reporter"" (1998)",1998
"""Professor Pochemushkin"" (2013)",2013
"""Profil ubiytsi dva"" (2015)",2015
"""Profil ubiytsy"" (2012)",2012
"""Programma Maksimum"" (2007)",2007
"""Proklyatie Dyuran"" (1993)",1993
"""Proklyatyy ray"" (2006)",2006
"""Proklyatyy ray-2"" (2008)",2008
"""Prokurorskaya proverka"" (2011)",2011
"""Promzona"" (????)",
"""Propavshie. Poslednyaya nadezhda"" (2014)",2014
"""Proschay, 'makarov'!"" (2010)",2010
"""Proshchalnoe ekho"" (2004)",2004
"""Proshchay, lyubimaya!"" (2014)",2014
"""Proshchayte, doktor Chekhov!"" (2007)",2007
"""Proshu poverit mne na slovo"" (2016)",2016
"""Prosnemsya vmeste?"" (2012)",2012
"""Prostaya zhizn"" (2013)",2013
"""Prostye istiny"" (1999)",1999
"""Prototipy"" (2013)",2013
"""Protsess"" (2013)",2013
"""Provintsial"" (2013)",2013
"""Provintsialka"" (2008)",2008
"""Provintsialnye strasti"" (2006)",2006
"""Provintsialy"" (2002)",2002
"""Provokator"" (2016)",2016
"""Prozhektorperiskhilton"" (2008)",2008
"""Pryamoy efir"" (2011)",2011
"""Psevdonim Albanets"" (2006)",2006
"""Pulya-Dura 2: Agent pochty ne viden"" (2009)",2009
"""Pulya-Dura 3: Agent dlya naslednitsy"" (2009)",2009
"""Pulya-Dura 4: Agent i sokrovishe natsii"" (2011)",2011
"""Pulya-Dura 5: Izumrudnoje delo agenta"" (2011)",2011
"""Pulya-Dura: Vozvrashenije agenta"" (2008)",2008
"""Pust govoryat"" (2001)",2001
"""Puteytsy 3"" (2013)",2013
"""Puteytsy dva"" (2010)",2010
"""Puteytsy"" (2007)",2007
"""Pyataya gruppa krovi"" (2010)",2010
"""Pyataya strazha"" (2013)",2013
"""Pyatnitskiy"" (2011)",2011
"""Pyatnitskiy. Glava chetvertaya"" (2014)",2014
"""Pyatnitskiy. Glava tretya"" (2013)",2013
"""Pyatnitskiy. Glava vtoraya"" (2012)",2012
"""Pyatyy angel"" (2003)",2003
"""Pyatyy ugol"" (2001)",2001
"""Pykhchevo"" (2010)",2010
"""Pylnaya rabota"" (2011)",2011
"""Pyotr Leshchenko. Vsyo, chto bylo..."" (2013)",2013
"""QUACKshow"" (2012)",2012
"""QUACKshow"" (2012) {Pokemoni VS Animagiya. (#1.2)}",2012
"""QUACKshow"" (2012) {Tetrad' smerti VS Dekster (#1.1)}",2012
"""QUACKshow"" (2012) {The Walking Dead VS Greshniki (#1.4)}",2012
"""QUACKshow"" (2012) {Zhelezniy chelovek VS Metallicheskiy chelovek (#1.3)}",2012
"""Quest"" (2015)",2015
"""Qumi-Qumi"" (2012)",2012
"""Radi lyubvi ya vsyo smogu"" (2015)",2015
"""Radio OVERSUN Presents"" (1996)",1996
"""Radio Sex"" (2012)",2012
"""Ranetki live"" (2009)",2009
"""Ranetki"" (2008)",2008
"""Raskalenniy perimetr"" (2014)",2014
"""Raskol"" (1993)",1993
"""Raskol"" (2011)",2011
"""Raskrutka"" (2010)",2010
"""Raspisanie sudeb"" (2007)",2007
"""Rasplata za grekhi"" (2007)",2007
"""Rasplata"" (2011)",2011
"""Rasskazy o geroyah"" (2013)",2013
"""Rayon tmy"" (2015)",2015
"""Rayskie yablochki"" (2008)",2008
"""Rayskie yablochki. Zhizn prodolzhaetsya"" (2009)",2009
"""Raz, dva! Lyublyu tebya!"" (2013)",2013
"""Razluchnitsa"" (2009)",2009
"""Razvedchiki: Posledniy boy"" (2008)",2008
"""Razvedchiki: Voina posle voiny"" (2008)",2008
"""Razvedchitsy"" (2013)",2013
"""Razvedka, o kotoroy znali nemnogie"" (2000)",2000
"""Razvod"" (2012)",2012
"""Razvyazka Peterburgskikh tayn"" (1998)",1998
"""Realnye patsany"" (2010)",2010
"""Reka-more"" (2008)",2008
"""Reket"" (1992)",1992
"""Reklamnaya pauza"" (2006)",2006
"""Rekviem dlya Svidetelya"" (2009)",2009
"""Relsy schastya"" (2006)",2006
"""Repetitor"" (2007)",2007
"""Retsept na million"" (2014)",2014
"""Reutov TV"" (2010)",2010
"""Revansh"" (2012)",2012
"""Revizorro"" (2014)",2014
"""Rieltor"" (2005)",2005
"""Robinzon"" (2011)",2011
"""Rodina zhdet 2"" (2006) {{SUSPENDED}}",2006
"""Rodina zhdyot"" (2003)",2003
"""Rodina"" (2015)",2015
"""Roditeli"" (2015)",2015
"""Rodnye lyudi"" (2008)",2008
"""Rodstvennyy obmen"" (2005)",2005
"""Rokovoe nasledstvo"" (2014)",2014
"""Romanovy"" (2013)",2013
"""Ronfred Show"" (2016)",2016
"""Rossiyskaya Imperiya"" (2000)",2000
"""Rostov-papa"" (2001)",2001
"""Rozygrysh"" (2003)",2003
"""Rozygrysh"" (2015)",2015
"""Rozysk 2"" (2013)",2013
"""Rozysk 3"" (2015)",2015
"""Rozysk"" (2013)",2013
"""Rublevka na vyezde"" (2014)",2014
"""Rublevo-Biryulevo"" (2014)",2014
"""Rublyovka Live"" (2005)",2005
"""Russie sensatsii"" (2007)",2007
"""Russisch Roulette"" (2012) {Teil 1 (#1.1)}",2012
"""Russisch Roulette"" (2012) {Teil 2 (#1.2)}",2012
"""Russiy vek"" (1998)",1998
"""Russkaya naslednitsa"" (2012)",2012
"""Russkie Tsari"" (2011)",2011
"""Russkie amazonki 2"" (2003)",2003
"""Russkie amazonki"" (2002)",2002
"""Russkie bez Rossii"" (2003)",2003
"""Russkie v Gorode Angelov"" (2003)",2003
"""Russkiy dubl"" (2010)",2010
"""Russkiy perevod"" (2006)",2006
"""Russkiy shokolad"" (2010)",2010
"""Russkiy tranzit"" (1994)",1994
"""Russkiye strashilki"" (2003)",2003
"""Russkoye sredstvo"" (2006)",2006
"""Russo-turisto"" (2015)",2015
"""Ryzhaya"" (2008)",2008
"""Ryzhie"" (2013)",2013
"""Rzhavchina"" (2013)",2013
"""S chego nachinaetsya rodina"" (2014)",2014
"""S novym schastem! - 2"" (2000)",2000
"""S novym schastem!"" (1999)",1999
"""S'kazka O S'chaste"" (2005)",2005
"""SMERSH: Legenda dlya predatelya"" (2011)",2011
"""SOBR"" (2011)",2011
"""Sadovnik"" (2010)",2010
"""Sakvoyazh so svetlym budushchim"" (2006)",2006
"""Salyami"" (2011)",2011
"""Sam sebe rezhissyer"" (1992)",1992
"""Samara 2"" (2014)",2014
"""Samara"" (2012)",2012
"""Samara-gorodok"" (2004)",2004
"""Samaya krasivaya dva"" (2008)",2008
"""Samaya krasivaya"" (2005)",2005
"""Samozvantsy"" (1998)",1998
"""Santa Lyuchiya"" (2012)",2012
"""Sarmat 2: Pokushenie"" (2005)",2005
"""Sarmat"" (2004)",2004
"""Sasha+Masha"" (2002)",2002
"""SashaTanya"" (2013)",2013
"""Sashka"" (2014)",2014
"""Sashka, lyubov moya"" (2007)",2007
"""Satisfaktsiya"" (2006)",2006
"""Save Brony Fandom"" (2016)",2016
"""Savva Morozov"" (2007)",2007
"""Schaste po retseptu"" (2006)",2006
"""Schastlivchik Pashka"" (2011)",2011
"""Schastlivy vmeste"" (2006)",2006
"""Schastlivyy bilet"" (2012)",2012
"""Schastlivyy"" (2005)",2005
"""Schastlivyye lyudi"" (2007)",2007
"""School of Survival"" (2015)",2015
"""Sdelano so vkusom"" (2015)",2015
"""Sdelano v SSSR"" (2011)",2011
"""Sdelay men krasivo"" (2014)",2014
"""Sdvinutyy"" (2001)",2001
"""Sedmaya runa"" (2014)",2014
"""Sekretnaya sluzhba Ego Velichestva"" (2007)",2007
"""Sekretnie porucheniya"" (2006)",2006
"""Sekta"" (2011)",2011
"""Sekunda do..."" (2007)",2007
"""Selfi"" (2016)",2016
"""Sem zhen odnogo holostyaka"" (2009)",2009
"""Sem'ja man'jaka Beljaeva"" (2015)",2015
"""Semeynaya istoriya"" (2010)",2010
"""Semeyniy dom"" (2010)",2010
"""Semeyniy ochag"" (2010)",2010
"""Semeynye dramy"" (2012)",2012
"""Semeynye obstoyatelstva"" (2013)",2013
"""Semeynye tayny"" (2001)",2001
"""Semeynyy albom"" (2014)",2014
"""Semeynyy biznes"" (2014)",2014
"""Semeynyy detektiv"" (2012)",2012
"""Semin"" (2009)",2009
"""Semnadtsat mgnoveniy vesny"" (1973)",1973
"""Serdtse Marii"" (2011)",2011
"""Serdtse kapitana Nemova"" (2009)",2009
"""Serdtse materi"" (2010)",2010
"""Serdtse ne kamen"" (2012)",2012
"""Serdtse zvezdy"" (2014)",2014
"""Serdtseedki"" (2008)",2008
"""Serebryanaya svadba"" (2001)",2001
"""Sereznye otnosheniya"" (2014)",2014
"""Serial Zavod"" (2013)",2013
"""Serial Zavod"" (2013) {Fokusnik (#2.1)}",2013
"""Serial Zavod"" (2013) {Napadenie (#1.2)}",2013
"""Serial Zavod"" (2013) {Nirvana Vasil'evna (#2.3)}",2013
"""Serial Zavod"" (2013) {Reklamniy agent (#2.4)}",2013
"""Serial Zavod"" (2013) {Terminator (#2.2)}",2013
"""Serial Zavod"" (2013) {Valer'yanka (#1.1)}",2013
"""Seshte eto nemedlenno!"" (2011)",2011
"""Sestra moya: Lyubov"" (2014)",2014
"""Sestry po krovi"" (2006)",2006
"""Sestry"" (2004)",2004
"""Set"" (2008)",2008
"""Severnyy sfinks"" (2003)",2003
"""Sezon okhoty 2"" (2001)",2001
"""Sezon okhoty"" (1997)",1997
"""Shag za shagom"" (2008)",2008
"""Shakespeare: The Animated Tales"" (1992)",1992
"""Shakespeare: The Animated Tales"" (1992) {As You Like It (#2.3)}",1992
"""Shakespeare: The Animated Tales"" (1992) {Hamlet (#1.5)}",1992
"""Shakespeare: The Animated Tales"" (1992) {Julius Caesar (#2.4)}",1992
"""Shakespeare: The Animated Tales"" (1992) {Macbeth (#1.3)}",1992
"""Shakespeare: The Animated Tales"" (1992) {Romeo and Juliet (#1.4)}",1992
"""Shakespeare: The Animated Tales"" (1992) {The Taming of the Shrew (#2.2)}",1992
"""Shakespeare: The Animated Tales"" (1992) {The Tempest (#1.2)}",1992
"""Shakespeare: The Animated Tales"" (1992) {The Winter's Tale (#2.5)}",1992
"""Shakespeare: The Animated Tales"" (1992) {Twelfth Night (#1.6)}",1992
"""Shakhmatist"" (2004)",2004
"""Shakhta"" (2010)",2010
"""Shalnoy angel"" (2009)",2009
"""Shaman"" (2011)",2011
"""Shamanka"" (2014)",2014
"""Shapovalov"" (2012)",2012
"""Shedevry Ermitazha"" (2008)",2008
"""Shef 2"" (2013)",2013
"""Shef 3"" (2015)",2015
"""Shef politsii"" (2013)",2013
"""Shef"" (2012)",2012
"""Sherif"" (2010)",2010
"""Sherlok Kholms"" (2013)",2013
"""Shiroka reka"" (2008)",2008
"""Shkaf"" (2013)",2013
"""Shkola N1"" (2007)",2007
"""Shkola remonta"" (2003)",2003
"""Shkola v Novom Svete"" (2013)",2013
"""Shkola zdorovya"" (2005)",2005
"""Shkola zlosloviya"" (2002)",2002
"""Shkola"" (2010)",2010
"""Shtrafbat"" (2004)",2004
"""Shubert"" (2017)",2017
"""Shvatka"" (2014)",2014
"""Signaly tochnogo vremeni"" (2014)",2014
"""Silnee ognya"" (2007)",2007
"""Silnee sudby"" (2014)",2014
"""Simba Jr. And the Football World Cup"" (1998)",1998
"""Sindikat"" (2006)",2006
"""Sindrom Drakona"" (2012)",2012
"""Sindrom Feniksa"" (2008)",2008
"""Sindrom Shakhmatista"" (2014)",2014
"""Sinie nochi"" (2008)",2008
"""Sishik Poutilin"" (2009)",2009
"""Sivyy merin"" (2010)",2010
"""Skazki Bazhenova"" (2004)",2004
"""Skazki machekhi"" (2015)",2015
"""Skazki-poteshki"" (2009)",2009
"""Sklifosovskiy"" (2012)",2012
"""Slabosti sil'nyy zhen'shchiny"" (2008)",2008
"""Sladkaya zhizn"" (2014)",2014
"""Sladkie istorii"" (2011)",2011
"""Slava"" (2015)",2015
"""Sled Pirani"" (2014)",2014
"""Sled salamandry"" (2009)",2009
"""Sled"" (2007)",2007
"""Sledaki"" (2011)",2011
"""Sledopyt"" (2010)",2010
"""Sledovatel Protasov"" (2013)",2013
"""Sledovatel Tikhonov"" (2016)",2016
"""Sledstvie veli..."" (2006)",2006
"""Sledy apostolov"" (2013)",2013
"""Slender Must Die"" (2016)",2016
"""Slepaya"" (2014)",2014
"""Slepoe schaste"" (2011)",2011
"""Slepoy 2"" (2005)",2005
"""Slepoy"" (2004)",2004
"""Slepoy"" (2008)",2008
"""Slishkom krasivye"" (2012)",2012
"""Slovo Zhenshine"" (2010)",2010
"""Sluzhba doveriya"" (2007)",2007
"""Smalkov. Dvoynoy shantazh"" (2008)",2008
"""Smekh i grekh"" (2013)",2013
"""Smersh"" (2007)",2007
"""Smert Vazir-Mukhtara"" (2010)",2010
"""Smert shpionam!"" (2007)",2007
"""Smert shpionam. Krym"" (2008)",2008
"""Smert shpionam. Lisya nora"" (2013)",2013
"""Smert shpionam. Udarnaya volna"" (2013)",2013
"""Smertelnaya skhvatka"" (2010)",2010
"""Smertelniy nomer"" (2017)",2017
"""Smeshariki"" (2003)",2003
"""Smeshariki: Azbuka bezopasnosti"" (2006)",2006
"""Smeshariki: Azbuka druzhelyubiya"" (2011)",2011
"""Smeshariki: Azbuka zdorovya"" (2012)",2012
"""Smeshariki: Novye priklyucheniya"" (2012)",2012
"""Smeshariki: Pin-kod"" (2012)",2012
"""Smotryashiy vniz"" (2002)",2002
"""Snayper. Oruzhie vozmezdiya"" (2009)",2009
"""Snaypery. Lyubov pod pritselom"" (2012)",2012
"""Sneg i pepel"" (2015)",2015
"""Sobachya rabota"" (2012)",2012
"""Soblazn"" (2014)",2014
"""Sochi 2014: XXII Olympic Winter Games"" (2014)",2014
"""Sokrovishcha myortvykh"" (2003)",2003
"""Soldati. Chetvertaya chast"" (2005)",2005
"""Soldaty 2"" (2004)",2004
"""Soldaty Sem"" (2006)",2006
"""Soldaty dvenadtsat"" (2007)",2007
"""Soldaty trinadtsat"" (2007)",2007
"""Soldaty"" (2004)",2004
"""Soldaty. Chast tretya"" (2005)",2005
"""Soldaty: Noviy prizyv"" (2008)",2008
"""Solo dlya pistoleta s orkestrom"" (2009)",2009
"""Son'ka"" (2015)",2015
"""Sonka zolotaya ruchka"" (2007)",2007
"""Sonka. Prodolzhenie legendy"" (2010)",2010
"""SophieCo"" (2013)",2013
"""Sovershenno sekretno"" (1999)",1999
"""Sovetskaya vlast"" (2006)",2006
"""Sovetskie biografii"" (2009)",2009
"""Sovety professora Chaynikova"" (2002)",2002
"""Soviet Video Game Nerd"" (2011)",2011
"""Spalnyy rayon"" (2009)",2009
"""Spas pod berezami"" (2003)",2003
"""Spasaysya, brat"" (2015)",2015
"""Spasite nashi dushi"" (2008)",2008
"""Spetsgruppa"" (2007)",2007
"""Spetsnaz II"" (2003)",2003
"""Spetsnaz"" (2002)",2002
"""Spetsotryad 'Shtorm'"" (2013)",2013
"""Spetspodrazdelenie 'Gorod'"" (????)",
"""Spotlight"" (2010)",2010
"""Sprosite povara"" (2007)",2007
"""Sredstvo ot smerti"" (2012)",2012
"""Srochno v nomer 2"" (2009)",2009
"""Srochno v nomer"" (2008)",2008
"""Srochno v nomer. Na sluzhbe zakona"" (2012)",2012
"""Stalin: Live"" (2006)",2006
"""Stalingrad"" (2003)",2003
"""Stalingrad. Pobeda, izmenivshaya mir"" (2012)",2012
"""Stalingradskaya bitva"" (2012)",2012
"""Stanitsa"" (2013)",2013
"""Stariki"" (2010)",2010
"""Staroe ruzhe"" (2014)",2014
"""Starshaya doch"" (2015)",2015
"""Starshaya sestra"" (2013)",2013
"""Starship Everyseeking"" (2012)",2012
"""Starye dela"" (2006)",2006
"""Stavka na zhizn"" (2008)",2008
"""Staya"" (2009)",2009
"""Stena"" (2016)",2016
"""Steny iz zhizni. Tamara Sinyavskaya"" (2013)",2013
"""Stepnye deti"" (2012)",2012
"""Sterva"" (2016)",2016
"""Stervy"" (2012)",2012
"""Stilet 2"" (2004)",2004
"""Stilet"" (2003)",2003
"""Stilyagi shou"" (2010)",2010
"""Stolitsa grekha"" (2010)",2010
"""Stolypin... Nevyuchennye uroki"" (2006)",2006
"""Stories from My Childhood"" (1998)",1998
"""Strakhovschiki"" (2011)",2011
"""Strana 03"" (2012)",2012
"""Strana ptits"" (2011)",2011
"""Strana v SHOP'e"" (2012)",2012
"""Stranitsy teatralnoy parodii"" (1996)",1996
"""Strannoe delo"" (2011)",2011
"""Strasti po Chapayu"" (2013)",2013
"""Strasti po Gorbachevu"" (2005)",2005
"""Strelok"" (2012)",2012
"""Strelok-2"" (2014)",2014
"""Strelyayuschiye gory"" (2011)",2011
"""Stroybatya"" (2010)",2010
"""Studenty"" (2005)",2005
"""Studiya 17"" (2013)",2013
"""Sud idet"" (1997)",1997
"""Sud prisyazhnykh: Okonchatelniy verdikt"" (2011)",2011
"""Sud"" (2009)",2009
"""Sudba na vybor"" (2011)",2011
"""Sudby zagadochnoe zavtra"" (2010)",2010
"""Sudebnaya kolonka"" (2008)",2008
"""Sudebnaya oshibka"" (2013)",2013
"""Sudya 2"" (2015)",2015
"""Sudya"" (2014)",2014
"""Sumusy"" (2006)",2006
"""Super Maks"" (2013)",2013
"""SuperIntuitsiya"" (2007)",2007
"""Suprugi dva"" (2011)",2011
"""Suprugi tri"" (2012)",2012
"""Suprugi"" (2009)",2009
"""Sut veshey"" (2011)",2011
"""Svadba Barbi"" (2005)",2005
"""Svakha"" (2007)",2007
"""Svati"" (2014)",2014
"""Svet i ten mayaka"" (2014)",2014
"""Svetofor"" (2011)",2011
"""Svezhaya zelen"" (2006)",2006
"""Svidanie dlya mamy"" (2014)",2014
"""Svidetel veka"" (2000)",2000
"""Svobodnaya zhenshchina-2"" (2003)",2003
"""Svodnye sestry"" (2016)",2016
"""Svoi pravila"" (2013)",2013
"""Svoy chelovek"" (2005)",2005
"""Svoy-chuzhoy"" (2007)",2007
"""Svoya chuzhaya"" (2015)",2015
"""Svoya igra"" (1994)",1994
"""Svoya komanda"" (2007)",2007
"""Syn ottsa narodov"" (2013)",2013
"""Syn vorona"" (2014)",2014
"""Syn za ottsa"" (2014)",2014
"""Syn"" (2015)",2015
"""Synopsis.Live"" (2008)",2008
"""Syomin. Vozmezdie"" (2013)",2013
"""Syschik s plokhim kharakterom"" (2001)",2001
"""Syshchiki"" (2001)",2001
"""Syshik Samovarov"" (2010)",2010
"""Tainstvennaya Rossiya"" (2010)",2010
"""Tak daleko, tak blizko"" (2013)",2013
"""Takaya obychnaya zhizn"" (2010)",2010
"""Takaya rabota"" (2015)",2015
"""Takoe kino"" (2014)",2014
"""Taksist: Krutye povoroty"" (2004)",2004
"""Taksistka dva"" (2005)",2005
"""Taksistka tri"" (2006/I)",2006
"""Taksistka tri"" (2006/II)",2006
"""Taksistka"" (2003)",2003
"""Talisman lyubvi"" (2005)",2005
"""Talyanka"" (2014)",2014
"""Tam gde ty"" (2014)",2014
"""Tamarka"" (2013)",2013
"""Tambovskaya volchitsa"" (2005)",2005
"""Tanets nashey lyubvi"" (2011)",2011
"""Tango s angelom"" (2010)",2010
"""Tango vtroem"" (2006)",2006
"""Tanki gryazi ne boyatsya"" (2008)",2008
"""Tankisty svoikh ne brosayut"" (2014)",2014
"""Tantsy marionetok"" (2013)",2013
"""Tantsy so zvezdami"" (2006)",2006
"""Tantsy"" (2014)",2014
"""Tatyanin den"" (2007)",2007
"""Tatyanina noch"" (2014)",2014
"""Tayga"" (2002)",2002
"""Tayna Sukharevoy bashni"" (2010)",2010
"""Taynaya strazha"" (2005)",2005
"""Taynaya strazha. Smertelnye igry"" (2009)",2009
"""Tayny dvortsovykh perevorotov"" (2000)",2000
"""Tayny dvortsovykh perevorotov"" (2000) {Okhota na printsesu (#5.1)}",2000
"""Tayny dvortsovykh perevorotov"" (2000) {Vivat, Anna! (#4.2)}",2000
"""Tayny instituta blagorodnykh devits"" (2013)",2013
"""Tayny mira"" (2011)",2011
"""Tayny nashego kino"" (2010)",2010
"""Tayny razvedki"" (2004)",2004
"""Tayny russkogo oruzhiya"" (2002)",2002
"""Tayny sledstviya"" (2000)",2000
"""Tayny strahov"" (2013)",2013
"""Tayny veka"" (2003)",2003
"""Taynye znaki"" (2008)",2008
"""Taynyy gorod"" (2014)",2014
"""Taynyy znak"" (2002)",2002
"""Te, s kotorymi ya..."" (2010)",2010
"""Teatr obrechennykh"" (2006)",2006
"""Tegeranskiy labirint. Stalin, Cherchill, Ruzvelt"" (2003)",2003
"""Telokhranitel - 2"" (2009)",2009
"""Telokhranitel"" (2007)",2007
"""Temnaya loshadka"" (2003)",2003
"""Temnaya storona"" (2014)",2014
"""Temnye labirinty proshlogo"" (2013)",2013
"""Temnyy mir: Ravnovesie"" (2014)",2014
"""Ten' Strekozy"" (2015)",2015
"""Teni proshlogo"" (2007)",2007
"""Terminal"" (2011)",2011
"""Terpkaya tayna: Iz istorii parfyumerii"" (2010)",2010
"""Territoriya dizayna. Gollandiya"" (2014)",2014
"""Territoriya zabluzhdeniy"" (2012)",2012
"""Terroristka Ivanova"" (2009)",2009
