n_rates,rating,name,year
8,7.5,"""Pensilvaniya"" (2015)",2015.0
129,7.1,"""Pepel"" (2013)",2013.0
21,7.3,"""Perevodchik"" (2014)",2014.0
15,7.1,"""Perom i shpagoy"" (2007)",2007.0
7,8.1,"""Pervaya mirovaya voyna"" (2014)",2014.0
85,7.6,"""Peterburgskie tayny"" (1994)",1994.0
8,7.5,"""Petlya Nesterova"" (2015)",2015.0
7,7.1,"""Petlya vremeni"" (2013)",2013.0
42,6.3,"""Petr Pervyy. Zaveshchanie"" (2011)",2011.0
6,2.2,"""Petya Velikolepny"" (2006)",2006.0
5,4.4,"""Pilot mezhdunarodnykh avialiniy"" (2011)",2011.0
6,7.3,"""Platina 2"" (2009)",2009.0
24,7.3,"""Platina"" (2007)",2007.0
8,4.4,"""Plokhbuster Show"" (2013)",2013.0
26,7.0,"""Po imeni Baron"" (2002)",2002.0
82,7.0,"""Po tu storonu volkov"" (2002)",2002.0
5,2.4,"""Pobeg 2"" (2012)",2012.0
50,4.0,"""Pobeg"" (2010)",2010.0
26,6.9,"""Pod livnem pul"" (2006)",2006.0
7,7.1,"""Pod prikrytiem"" (2013)",2013.0
6,5.7,"""Podari mne zhizn"" (2003)",2003.0
18,8.4,"""Podstrochnik"" (2009)",2009.0
6,4.2,"""Pogonya za angelom"" (2007)",2007.0
12,6.8,"""Poka tsvetet paporotnik"" (2012)",2012.0
28,6.4,"""Politseyskiy s Rublyovki"" (2016)",2016.0
35,7.8,"""Polkino"" (2010)",2010.0
8,6.0,"""Polniy Modern!"" (1999)",1999.0
11,6.4,"""Polnyy vperyod!"" (2005)",2005.0
7,2.1,"""Ponyat. Prostit"" (2006)",2006.0
6,7.0,"""Popytka k begstvu"" (2007)",2007.0
9,2.9,"""Posledniy boy"" (2014)",2014.0
111,6.2,"""Posledniy bronepoezd"" (2006)",2006.0
105,6.1,"""Posledniy geroy"" (2001)",2001.0
190,3.7,"""Posledniy iz Magikyan"" (2013)",2013.0
6,6.3,"""Posledniy ment"" (2015)",2015.0
12,6.8,"""Poslednyaya reproduktsiya"" (2008)",2008.0
19,7.1,"""Poteryavshye solntse"" (2005)",2005.0
85,7.7,"""Povinnost"" (1998)",1998.0
84,6.9,"""Pozner"" (2008)",2008.0
5,4.8,"""Pravila ugona"" (2009)",2009.0
8,4.6,"""Prestuplenie budet raskryto"" (2008)",2008.0
94,7.8,"""Prestuplenie i nakazanie"" (2007)",2007.0
41,6.3,"""Prikazano unichtozhit. Operatsiya 'Kitayskaya shkatulka"" (2009)",2009.0
26,7.0,"""Priklyucheniya v Izumrudnom Gorode"" (1999) {Printsessa Ozma (#1.4)}",1999.0
39,6.5,"""Priklyucheniya v Izumrudnom Gorode"" (1999) {Serebryanye tufelki (#1.1)}",1999.0
43,3.3,"""Prints Sibiri"" (2014)",2014.0
15,6.7,"""Printsessa i nishchiy"" (2004)",2004.0
11,5.6,"""Privet ot Katyushi"" (2013)",2013.0
10,4.6,"""Proklyatie Dyuran"" (1993)",1993.0
5,5.2,"""Proklyatyy ray-2"" (2008)",2008.0
5,5.2,"""Prokurorskaya proverka"" (2011)",2011.0
14,7.6,"""Proshchay, lyubimaya!"" (2014)",2014.0
18,6.3,"""Prostye istiny"" (1999)",1999.0
6,6.7,"""Provintsialka"" (2008)",2008.0
12,5.1,"""Provintsialy"" (2002)",2002.0
8,6.2,"""Provokator"" (2016)",2016.0
622,7.7,"""Prozhektorperiskhilton"" (2008)",2008.0
14,3.3,"""Pust govoryat"" (2001)",2001.0
7,5.3,"""Pyataya strazha"" (2013)",2013.0
7,7.1,"""Pyatnitskiy"" (2011)",2011.0
6,7.3,"""Pyatnitskiy. Glava tretya"" (2013)",2013.0
19,7.0,"""Pyatyy angel"" (2003)",2003.0
10,5.7,"""Pyatyy ugol"" (2001)",2001.0
6,8.2,"""Pyotr Leshchenko. Vsyo, chto bylo..."" (2013)",2013.0
32,8.5,"""Qumi-Qumi"" (2012)",2012.0
8,2.5,"""Ranetki live"" (2009)",2009.0
207,2.2,"""Ranetki"" (2008)",2008.0
7,6.3,"""Raskol"" (1993)",1993.0
37,7.8,"""Raskol"" (2011)",2011.0
6,8.0,"""Rayon tmy"" (2015)",2015.0
16,7.9,"""Razvedchitsy"" (2013)",2013.0
22,5.5,"""Razvyazka Peterburgskikh tayn"" (1998)",1998.0
697,6.4,"""Realnye patsany"" (2010)",2010.0
17,6.8,"""Revizorro"" (2014)",2014.0
17,5.7,"""Rieltor"" (2005)",2005.0
7,8.6,"""Robinzon"" (2011)",2011.0
92,7.1,"""Rodina zhdyot"" (2003)",2003.0
56,4.4,"""Rodina"" (2015)",2015.0
5,5.0,"""Rodstvennyy obmen"" (2005)",2005.0
57,8.1,"""Romanovy"" (2013)",2013.0
9,2.2,"""Ronfred Show"" (2016)",2016.0
27,8.2,"""Rossiyskaya Imperiya"" (2000)",2000.0
8,5.9,"""Rostov-papa"" (2001)",2001.0
77,5.2,"""Rozygrysh"" (2003)",2003.0
17,4.4,"""Russisch Roulette"" (2012) {Teil 1 (#1.1)}",2012.0
19,4.2,"""Russisch Roulette"" (2012) {Teil 2 (#1.2)}",2012.0
19,7.9,"""Russkie bez Rossii"" (2003)",2003.0
80,5.4,"""Russkie v Gorode Angelov"" (2003)",2003.0
33,4.8,"""Russkiy tranzit"" (1994)",1994.0
7,7.6,"""Russkiye strashilki"" (2003)",2003.0
28,3.7,"""Ryzhaya"" (2008)",2008.0
5,7.0,"""S chego nachinaetsya rodina"" (2014)",2014.0
5,4.6,"""S novym schastem!"" (1999)",1999.0
9,5.7,"""Samara-gorodok"" (2004)",2004.0
11,5.2,"""Samaya krasivaya"" (2005)",2005.0
7,5.1,"""Samozvantsy"" (1998)",1998.0
18,5.9,"""Sarmat"" (2004)",2004.0
144,5.3,"""Sasha+Masha"" (2002)",2002.0
106,4.0,"""SashaTanya"" (2013)",2013.0
20,6.8,"""Satisfaktsiya"" (2006)",2006.0
15,4.7,"""Save Brony Fandom"" (2016)",2016.0
297,4.3,"""Schastlivy vmeste"" (2006)",2006.0
7,5.4,"""Schastlivyy"" (2005)",2005.0
28,9.2,"""Schastlivyye lyudi"" (2007)",2007.0
15,7.4,"""Sdelano v SSSR"" (2011)",2011.0
13,4.1,"""Sdvinutyy"" (2001)",2001.0
8,6.4,"""Sedmaya runa"" (2014)",2014.0
5,7.2,"""Sekunda do..."" (2007)",2007.0
14,6.9,"""Semeynye tayny"" (2001)",2001.0
7,6.9,"""Semeynyy albom"" (2014)",2014.0
27,3.3,"""Semeynyy biznes"" (2014)",2014.0
7,5.7,"""Semin"" (2009)",2009.0
2701,9.0,"""Semnadtsat mgnoveniy vesny"" (1973)",1973.0
6,4.3,"""Serdtse materi"" (2010)",2010.0
5,3.8,"""Serebryanaya svadba"" (2001)",2001.0
9,8.2,"""Set"" (2008)",2008.0
13,5.1,"""Sezon okhoty"" (1997)",1997.0
192,8.4,"""Shakespeare: The Animated Tales"" (1992)",1992.0
15,6.8,"""Shakespeare: The Animated Tales"" (1992) {As You Like It (#2.3)}",1992.0
80,7.3,"""Shakespeare: The Animated Tales"" (1992) {Hamlet (#1.5)}",1992.0
17,8.5,"""Shakespeare: The Animated Tales"" (1992) {Julius Caesar (#2.4)}",1992.0
48,7.6,"""Shakespeare: The Animated Tales"" (1992) {Macbeth (#1.3)}",1992.0
51,6.9,"""Shakespeare: The Animated Tales"" (1992) {Romeo and Juliet (#1.4)}",1992.0
23,7.5,"""Shakespeare: The Animated Tales"" (1992) {The Taming of the Shrew (#2.2)}",1992.0
44,8.0,"""Shakespeare: The Animated Tales"" (1992) {The Tempest (#1.2)}",1992.0
18,7.6,"""Shakespeare: The Animated Tales"" (1992) {The Winter's Tale (#2.5)}",1992.0
25,8.2,"""Shakespeare: The Animated Tales"" (1992) {Twelfth Night (#1.6)}",1992.0
5,5.4,"""Shakhmatist"" (2004)",2004.0
9,7.6,"""Shakhta"" (2010)",2010.0
15,4.1,"""Shalnoy angel"" (2009)",2009.0
9,6.2,"""Shapovalov"" (2012)",2012.0
13,6.9,"""Shef"" (2012)",2012.0
226,6.2,"""Sherlok Kholms"" (2013)",2013.0
10,5.5,"""Shiroka reka"" (2008)",2008.0
15,2.7,"""Shkola N1"" (2007)",2007.0
75,7.1,"""Shkola zlosloviya"" (2002)",2002.0
521,6.3,"""Shkola"" (2010)",2010.0
968,7.4,"""Shtrafbat"" (2004)",2004.0
11,5.4,"""Simba Jr. And the Football World Cup"" (1998)",1998.0
11,6.5,"""Sindrom Drakona"" (2012)",2012.0
11,4.8,"""Sinie nochi"" (2008)",2008.0
6,5.3,"""Sishik Poutilin"" (2009)",2009.0
5,6.2,"""Sivyy merin"" (2010)",2010.0
24,6.5,"""Sklifosovskiy"" (2012)",2012.0
114,6.7,"""Sladkaya zhizn"" (2014)",2014.0
11,7.9,"""Slava"" (2015)",2015.0
127,3.5,"""Sled"" (2007)",2007.0
26,7.7,"""Sledstvie veli..."" (2006)",2006.0
8,1.0,"""Slender Must Die"" (2016)",2016.0
9,4.6,"""Slepoy"" (2004)",2004.0
13,6.7,"""Smersh"" (2007)",2007.0
8,7.2,"""Smert shpionam!"" (2007)",2007.0
8,7.0,"""Smert shpionam. Krym"" (2008)",2008.0
7,7.6,"""Smert shpionam. Udarnaya volna"" (2013)",2013.0
5,5.2,"""Smertelnaya skhvatka"" (2010)",2010.0
381,7.7,"""Smeshariki"" (2003)",2003.0
7,6.1,"""Smeshariki: Azbuka bezopasnosti"" (2006)",2006.0
10,6.3,"""Smeshariki: Novye priklyucheniya"" (2012)",2012.0
9,6.7,"""Smeshariki: Pin-kod"" (2012)",2012.0
87,6.7,"""Snayper. Oruzhie vozmezdiya"" (2009)",2009.0
8,7.6,"""Snaypery. Lyubov pod pritselom"" (2012)",2012.0
10,6.8,"""Sneg i pepel"" (2015)",2015.0
246,7.0,"""Sochi 2014: XXII Olympic Winter Games"" (2014)",2014.0
12,5.9,"""Soldaty 2"" (2004)",2004.0
282,6.4,"""Soldaty"" (2004)",2004.0
59,6.5,"""Sonka zolotaya ruchka"" (2007)",2007.0
11,6.5,"""Spasite nashi dushi"" (2008)",2008.0
38,5.9,"""Spetsnaz II"" (2003)",2003.0
173,6.5,"""Spetsnaz"" (2002)",2002.0
622,8.3,"""Stalingrad"" (2003)",2003.0
10,6.9,"""Staroe ruzhe"" (2014)",2014.0
5,5.2,"""Starye dela"" (2006)",2006.0
10,7.4,"""Stepnye deti"" (2012)",2012.0
15,7.2,"""Sterva"" (2016)",2016.0
5,5.2,"""Stolitsa grekha"" (2010)",2010.0
86,7.6,"""Stories from My Childhood"" (1998)",1998.0
16,8.1,"""Strasti po Chapayu"" (2013)",2013.0
5,5.4,"""Stroybatya"" (2010)",2010.0
5,4.8,"""Studiya 17"" (2013)",2013.0
10,5.7,"""Sudebnaya kolonka"" (2008)",2008.0
7,4.9,"""Super Maks"" (2013)",2013.0
5,4.0,"""SuperIntuitsiya"" (2007)",2007.0
6,3.8,"""Svadba Barbi"" (2005)",2005.0
225,5.5,"""Svetofor"" (2011)",2011.0
7,5.7,"""Svoy chelovek"" (2005)",2005.0
8,6.4,"""Svoy-chuzhoy"" (2007)",2007.0
35,7.2,"""Svoya igra"" (1994)",1994.0
34,8.5,"""Syn ottsa narodov"" (2013)",2013.0
13,6.2,"""Syshchiki"" (2001)",2001.0
10,4.7,"""Taksist: Krutye povoroty"" (2004)",2004.0
18,4.7,"""Talisman lyubvi"" (2005)",2005.0
6,7.3,"""Talyanka"" (2014)",2014.0
7,6.0,"""Tango vtroem"" (2006)",2006.0
5,3.4,"""Tantsy so zvezdami"" (2006)",2006.0
7,5.7,"""Tantsy"" (2014)",2014.0
70,5.0,"""Tatyanin den"" (2007)",2007.0
29,6.8,"""Tayga"" (2002)",2002.0
6,6.7,"""Taynaya strazha"" (2005)",2005.0
49,6.5,"""Tayny dvortsovykh perevorotov"" (2000)",2000.0
6,6.0,"""Tayny dvortsovykh perevorotov"" (2000) {Vivat, Anna! (#4.2)}",2000.0
113,6.5,"""Tayny sledstviya"" (2000)",2000.0
14,3.7,"""Taynyy gorod"" (2014)",2014.0
8,5.0,"""Telokhranitel - 2"" (2009)",2009.0
9,6.2,"""Telokhranitel"" (2007)",2007.0
26,6.9,"""Temnyy mir: Ravnovesie"" (2014)",2014.0
5,4.8,"""Terroristka Ivanova"" (2009)",2009.0
16,7.5,"""Test na beremennost"" (2015)",2015.0
137,6.5,"""The Canterbury Tales"" (1998)",1998.0
9,8.2,"""The Face of Russia"" (1998)",1998.0
9,4.3,"""The Hunter on Fairies"" (2016)",2016.0
54,7.9,"""Tikhiy Don"" (2015)",2015.0
7,4.4,"""Toch-v-toch'"" (2014)",2014.0
6,5.8,"""Tolko ty..."" (2004)",2004.0
17,7.5,"""Tragediya XX veka"" (1993)",1993.0
6,7.2,"""Trailer in the Style"" (2016)",2016.0
17,7.8,"""Tri dnya leytenanta Kravtsova"" (2012)",2012.0
8,3.6,"""Troe protiv vsekh - 2"" (2003)",2003.0
13,5.1,"""Troe protiv vsekh"" (2002)",2002.0
12,5.1,"""Troe sverkhu"" (2006)",2006.0
7,4.6,"""Tronutye"" (2006)",2006.0
10,8.0,"""Tulskiy Tokarev"" (2010)",2010.0
56,5.9,"""Tuman"" (2010)",2010.0
5,6.0,"""Turetskiy tranzit"" (2014)",2014.0
12,4.8,"""Turisty"" (2005)",2005.0
7,6.4,"""Twilight's Adventures"" (2015)",2015.0
14,6.6,"""U.E."" (2006)",2006.0
26,6.2,"""Ubit Stalina"" (2013)",2013.0
383,7.0,"""Uboynaya sila"" (2000)",2000.0
295,7.1,"""Uchastok"" (2003)",2003.0
12,6.4,"""Uchitelya"" (2014)",2014.0
6,7.3,"""Ukhodyashchaya natura"" (2013)",2013.0
10,5.6,"""Ulitsy razbityh fonarey 2"" (1999)",1999.0
289,6.1,"""Ulitsy razbitykh fonarey"" (1997)",1997.0
6,8.8,"""Umnozhayushchiy pechal"" (2005)",2005.0
12,2.9,"""Undina 2. Na grebne volny"" (2004)",2004.0
21,3.2,"""Undina"" (2003)",2003.0
598,5.3,"""Univer"" (2008)",2008.0
156,5.2,"""Univer. Novaya obschaga"" (2011)",2011.0
59,5.5,"""Uralskie pelmeni"" (2009)",2009.0
139,3.3,"""Utomlennye solntsem 2"" (2011)",2011.0
18,2.4,"""V Moskve vsegda solnechno"" (2014)",2014.0
97,6.0,"""V iyune 41-go"" (2008)",2008.0
199,7.6,"""V kruge pervom"" (2006)",2006.0
55,6.7,"""V ritme tango"" (2006)",2006.0
42,8.0,"""Vangeliya"" (2013)",2013.0
6,4.8,"""Vasha chest"" (2007)",2007.0
111,4.7,"""Vasilisa"" (2014)",2014.0
5,6.2,"""Vasilyevskiy ostrov"" (2009)",2009.0
157,6.4,"""Vecherniy Urgant"" (2012)",2012.0
35,8.4,"""Velikaya voyna"" (2010)",2010.0
40,7.7,"""Velikaya"" (2015)",2015.0
8,7.0,"""Verbnoe voskresene"" (2010)",2010.0
53,7.7,"""Verni moyu lyubov"" (2014)",2014.0
6,2.5,"""Vernoe sredstvo"" (2012)",2012.0
11,5.4,"""Vintovaya lestnitsa"" (2005)",2005.0
47,4.3,"""Viola Tarakanova"" (2004)",2004.0
6,7.0,"""Voennaya razvedka. Zapadnyy front"" (2010)",2010.0
8,5.0,"""Vokzal"" (2003)",2003.0
211,4.3,"""Voroniny"" (2009)",2009.0
14,5.9,"""Vorotily"" (2007)",2007.0
7,2.9,"""Vorovka 2. Schaste naprokat"" (2002)",2002.0
183,5.8,"""Vosmidesyatye"" (2012)",2012.0
10,7.0,"""Vospominanie o Sherloke Kholmse"" (2006)",2006.0
14,2.4,"""Vovochka - 2"" (2002)",2002.0
23,3.7,"""Vovochka"" (2002)",2002.0
51,5.2,"""Vozvrashchenie Mukhtara"" (2003)",2003.0
5,4.8,"""Vozvrashenie Muhtara 2"" (2005)",2005.0
24,5.2,"""Vremena"" (2000)",2000.0
6,7.7,"""Vremenno nedostupen"" (2015)",2015.0
6,5.3,"""Vremya zhestokikh"" (2004)",2004.0
19,8.3,"""Vse nachalos v Kharbine"" (2013)",2013.0
5,8.8,"""Vtoraya mirovaya voyna: den za dnem"" (2005)",2005.0
11,5.3,"""Vysshiy pilotazh"" (2009)",2009.0
6,5.3,"""Vystrel"" (2015)",2015.0
108,6.1,"""Vyzhit posle"" (2013)",2013.0
19,5.9,"""Vyzov"" (2006)",2006.0
10,6.9,"""Vzglyad"" (1994)",1994.0
72,7.0,"""Vzyat Tarantinu"" (2006)",2006.0
1536,7.3,"""War and Peace"" (2007)",2007.0
34,7.9,"""War and Peace"" (2007) {(#1.1)}",2007.0
29,7.8,"""War and Peace"" (2007) {(#1.2)}",2007.0
27,7.7,"""War and Peace"" (2007) {(#1.3)}",2007.0
29,7.8,"""War and Peace"" (2007) {(#1.4)}",2007.0
9,3.4,"""What Infuriates In"" (2014)",2014.0
43,2.4,"""Ya budu ryadom"" (2011)",2011.0
6,4.3,"""Ya lechu"" (2008)",2008.0
8,6.8,"""Ya ne vernus"" (2005)",2005.0
6,8.5,"""Ya vernus"" (2009)",2009.0
6,1.8,"""Yesli zavtra v pokhod"" (2004)",2004.0
16,5.7,"""Yunkera"" (2006)",2006.0
24,7.2,"""Zabytyy"" (2011)",2011.0
6,5.7,"""Zadaniya osoboy vazhnosti. Operatsiya 'Tayfun'"" (2013)",2013.0
5,6.2,"""Zakhvatchiki"" (2009)",2009.0
20,5.7,"""Zakoldovannyy uchastok"" (2006)",2006.0
8,5.9,"""Zakon & poryadok: Otdel operativnykh rassledovaniy"" (2007)",2007.0
15,5.3,"""Zakon & poryadok: Prestupnyy umysel"" (2007)",2007.0
31,7.1,"""Zakon kamennykh dzhungley"" (2015)",2015.0
9,7.2,"""Zakon myshelovki"" (2007)",2007.0
19,7.4,"""Zakon"" (2002)",2002.0
168,6.1,"""Zakrytaya shkola"" (2011)",2011.0
65,6.6,"""Zal ozhidaniya"" (1998)",1998.0
64,6.3,"""Zapiski ekspeditora Taynoy kantselyarii"" (2011)",2011.0
25,7.4,"""Zashchitniki"" (2015)",2015.0
12,6.2,"""Zastava Zhilina"" (2009)",2009.0
70,8.0,"""Zaveshchanie Lenina"" (2007)",2007.0
205,4.2,"""Zaytsev+1"" (2011)",2011.0
16,2.5,"""Zharkiy led"" (2009)",2009.0
5,4.6,"""Zhdi Menya"" (1998)",1998.0
6,6.2,"""Zheleznyy zanaves"" (1994)",1994.0
10,5.6,"""Zhenshchiny v igre bez pravil"" (2004)",2004.0
10,6.7,"""Zhenskiy roman"" (2005)",2005.0
8,8.4,"""Zhivoy Pushkin"" (1999)",1999.0
90,8.2,"""Zhizn i priklyucheniya Mishki Yaponchika"" (2011)",2011.0
67,7.8,"""Zhizn i sudba"" (2012)",2012.0
9,5.2,"""Zhukov"" (2012)",2012.0
13,6.2,"""Zhurov"" (2009)",2009.0
9,1.1,"""Zhutkiye istorii"" (2015)",2015.0
48,4.3,"""Zimnyaya vishnya 3"" (1995)",1995.0
6,7.3,"""Znahar"" (2008)",2008.0
6,4.7,"""Znakhar 2. Okhota bez pravil"" (2011)",2011.0
8,6.9,"""Zolotoy kapkan"" (2010)",2010.0
219,5.1,"""Zolotoy telyonok"" (2005)",2005.0
25,5.0,"""Zolotye. Barvikha 2"" (2011)",2011.0
108,7.8,"""Zona"" (2006)",2006.0
7,6.1,"""Zov dzhungley"" (1993)",1993.0
15,5.9,"""Zveroboy"" (2009)",2009.0
23,4.0,"""Zvezda epokhi"" (2005)",2005.0
7,6.4,"""Zvezdniy chas"" (1992)",1992.0
60,6.8,"""Zvezdochyot"" (2004)",2004.0
145,3.1,#Nerealnaya lyubov (2014),2014.0
8,4.5,#NumberDrocher (2016),2016.0
24,7.4,#halloweenparty (2015),2015.0
7,9.0,'Strashilki' Khrestinina Kirilla: No. 1 'Kollektorshchik' (2011),2011.0
1094,7.2,(M)uchenik (2016),2016.0
24,7.3,(Menya zdes net) (2009),2009.0
12,4.8,...Pervaya lyubov (1995),1995.0
79,7.2,00:10 (2009),2009.0
40,5.7,07-y menyaet kurs (2007),2007.0
8,7.2,100 Thousand (2009) (TV),2009.0
30,7.0,101-y kilometr (2001),2001.0
11918,7.8,12 (2007),2007.0
84,5.1,12 mesyatsev (2013),2013.0
14,5.9,12 mesyatsev. Novaya skazka (2015),2015.0
6,4.3,12 stulev (2004) (TV),2004.0
23,6.2,1210 (2012),2012.0
573,6.9,14+ (2015),2015.0
1823,5.7,1612: Khroniki smutnogo vremeni (2007),2007.0
12,5.4,17 avgusta (2009),2009.0
59,5.8,1812 God (1912),1912.0
254,2.4,1812. Ulanskaya ballada (2012),2012.0
358,6.2,1814 (2007),2007.0
10,5.8,2+1= (2003) (TV),2003.0
68,5.1,2-Assa-2 (2008),2008.0
7,1.0,20 rubley za tyolku (2011) (V),2011.0
124,5.6,20 sigaret (2007),2007.0
8,6.6,21.12.2012 Konets sveta (2012),2012.0
32,7.9,211: Anna (2009),2009.0
12,6.5,"22 iyunya, rovno v 4 chasa (1992)",1992.0
436,5.4,22 minuty (2014),2014.0
12,4.5,22.12.2012 Posle kontsa sveta (2012),2012.0
142,6.1,24 chasa (2000),2000.0
329,6.8,25 degrs en hiver (2004),2004.0
25,7.8,29 kilometr (2012),2012.0
11,7.1,3 Girls (2007),2007.0
103,5.0,30 svidaniy (2016),2016.0
51,4.8,32 dekabrya (2004) (TV),2004.0
6,1.5,33-y Moskovskiy mezhdunarodnyy kinofestival (2011) (TV),2011.0
9,7.2,3:00 (2015),2015.0
1758,6.7,4 (2004),2004.0
580,6.3,4 Tage im Mai (2011),2011.0
14,9.1,4th Floor (2016),2016.0
9,8.7,5 dom (2014),2014.0
7,1.0,6 elementov vremeni (2016),2016.0
31,6.1,7 dney s russkoy krasavitsey (1991),1991.0
54,2.7,7 glavnykh zhelaniy (2013),2013.0
7,8.3,7.62 (2009) (VG),2009.0
8,6.2,72 chasa (2016),2016.0
1167,6.7,72 metra (2004),2004.0
6,5.3,8 (2015/II),2015.0
333,3.9,8 luchshikh svidaniy (2016),2016.0
430,5.5,8 novykh svidaniy (2015),2015.0
635,6.4,8 pervykh svidaniy (2012),2012.0
230,6.7,8  $ (1999),1999.0
25,5.6,9 dney i odno utro (2014),2014.0
16883,7.2,9 rota (2005),2005.0
30,4.7,901 kilometr (2012),2012.0
156,5.9,977 (2006),2006.0
7,7.3,A Bag-killer from the Space (2009),2009.0
75,7.6,A Bitter Taste of Freedom (2011),2011.0
11,6.4,A Journey of Dmitry Shostakovich (2006),2006.0
7,6.7,A Trivial Exclusion (2009),2009.0
13,6.1,"A Very Large Increase in the Size, Amount, or Importance of Something Over a Very Short Period of Time (2013)",2013.0
9,6.3,A chtoy-to ty vo frake? (1993) (TV),1993.0
9,2.0,A mama luchshe! (2010),2010.0
70,6.4,A poutru oni prosnulis (2003),2003.0
6,3.2,A spat' s chuzhoy zhenoy khorosho!? (1992),1992.0
524,6.5,A zori zdes tikhie... (2015),2015.0
8,8.0,Abandoned (2015/IV),2015.0
11,8.5,Abandoned (2016/II),2016.0
8,5.5,Abel (2009),2009.0
5,7.6,Aben Ashlishi (2015),2015.0
8,6.6,Absistent (1996) (V),1996.0
8,4.2,Abstract? (2009),2009.0
9,3.9,Absurd (2016) (V),2016.0
454,7.8,Adazhio (2000),2000.0
6,7.0,Addicted (2014/II),2014.0
5,5.2,Adel (2008),2008.0
6223,6.9,Admiral (2008),2008.0
11,4.4,Adskiy ostrov (2012),2012.0
24,4.6,Afera (2001),2001.0
22,8.0,Afinskie vechera (1999),1999.0
12,7.2,"Africa, Blood & Beauty (2012)",2012.0
7,7.9,Aftersuicide Nightmare (2007),2007.0
6,7.5,Agape (1996),1996.0
5,9.6,Agent Adventures (2012),2012.0
8,4.8,Agent Diego and Video Recorder (2016),2016.0
53,6.8,Agitbrigada 'Bey vraga!' (2007),2007.0
7,5.4,Akt (1993),1993.0
371,5.0,Aleksandr. Nevskaya bitva (2008),2008.0
2222,7.0,Aleksandra (2007),2007.0
5,7.8,Alexandra (2007),2007.0
31,4.9,Alfons (1993),1993.0
10,7.9,Alien Alive (2015),2015.0
15,8.7,Alien Nightmare (2015),2015.0
7,1.0,Alien brainsuckers (2006),2006.0
7,1.0,Alien horror (2015) (V),2015.0
14,4.5,Alisa i bukinist (1992),1992.0
11,6.5,Alisa navsegda (2008),2008.0
47,6.3,Alkhimiki (2000),2000.0
294,4.7,All Inclusive ili Vsyo vklyucheno! (2011),2011.0
21,5.0,"Alyaska, ser! (1992)",1992.0
1485,7.1,Alyosha Popovich i Tugarin Zmey (2004),2004.0
10,7.0,Ameriga (2000),2000.0
134,7.0,Amerikanka (2001),2001.0
400,6.4,Amerikanskaya doch (1995),1995.0
76,5.3,Amerikanskiy dedushka (1994),1994.0
7,1.0,Amnesia (2016) (V),2016.0
49,6.2,Amori elementari (2014),2014.0
171,6.4,Amrica (2010),2010.0
19,7.5,Anatomiya t.A.T.u. (2003) (TV),2003.0
262,5.7,Andersen. Zhizn bez lyubvi (2006),2006.0
6,9.2,"Andrey Belyy. Okhota na angela, ili Chetyre lyubvi poeta i proritsatelya (2002)",2002.0
64,7.9,Andrey Iskanov's Ingression (2010),2010.0
33,7.3,Andrey Svislotskiy (1992),1992.0
8,8.5,Andrey Tarkovskiy. Vospominanie (1996),1996.0
10,7.8,Anemos stin poli (1996),1996.0
14,6.6,Angel (2011/III),2011.0
17,6.6,Angel na obochinye (2004),2004.0
6,6.7,Angel of Death (2007),2007.0
186,6.5,Angely revolyutsii (2014),2014.0
48,6.6,Angely smerti (1993),1993.0
7,5.6,Angely v rayu (1993),1993.0
132,7.7,Animated Epics: Beowulf (1998) (TV),1998.0
200,7.1,"Ankor, eshchyo ankor! (1993)",1993.0
7,4.1,Anna (2005/II),2005.0
14,5.4,Anna Karenina (1911),1911.0
10,6.0,Anna Karenina (1914),1914.0
549,7.6,Anna ot 6 do 18 (1994),1994.0
11,4.6,Anomaliya (1993),1993.0
9,3.6,Anomaliya (2012),2012.0
5,2.0,Anomaliya vnezemnogo proiskhozhdeniya (2016),2016.0
8,6.2,Anomie (2016),2016.0
10,8.6,Another Dimension (2012) (V),2012.0
14,4.3,Antalya (2010),2010.0
8,8.2,Anthology of Horror 2 (2015),2015.0
7,8.1,Anthology of Horror 3 (2016),2016.0
167,3.5,Antidur (2007),2007.0
5,8.2,Antifascist Attitude (2008),2008.0
502,5.2,Antikiller 2: Antiterror (2003),2003.0
384,6.1,Antikiller D.K. (2009),2009.0
25,5.0,Antisex (2008),2008.0
9,6.4,Antitransformery (2012),2012.0
16,7.2,Antologiya uzhasov (2014),2014.0
181,7.4,Anton tut ryadom (2012),2012.0
19,8.3,Antonina obernulas (2008),2008.0
29,6.2,Anya (2015),2015.0
49,6.6,Apelsinovyy sok (2010),2010.0
5,4.6,Apokalypse 99 - Anatomie eines Amoklufers (2000),2000.0
7,5.6,Apokrif: Muzyka dlya Petra i Pavla (2005),2005.0
101,6.2,Aprel (2002),2002.0
64,6.5,Arbitr (1992),1992.0
10,8.6,Arctic Alchemy (2015),2015.0
5,7.0,Arena (2012),2012.0
16,5.1,Ariel (1992),1992.0
10,6.8,Arje (2004),2004.0
7,3.6,Armagedon (2015) (V),2015.0
13,7.5,Arshin mal-alan (1917),1917.0
108,3.4,Artefakt (2009),2009.0
35,6.6,Artel (2006),2006.0
14,6.9,Artist i master izobrazheniya (2000),2000.0
206,7.0,Artistka (2007),2007.0
6,7.8,Arventur (2015),2015.0
215,8.8,Arvydas Sabonis 11 (2014),2014.0
1163,4.4,Assassins Run (2013),2013.0
6,8.2,Ataga sovetskikh zombi (2016),2016.0
29,6.6,Atlantida (2002),2002.0
