n_rates,rating,name,year
10,6.3,"""Chuzhoy rayon"" (2012)",2012.0
5,7.2,"""Chuzhoy"" (2014)",2014.0
33,6.6,"""Chyornaya komnata"" (2000)",2000.0
14,6.7,"""Chyornye koshki"" (2013)",2013.0
31,6.5,"""Chyornyy voron"" (2001)",2001.0
35,3.5,"""Comedy Battle"" (2010)",2010.0
73,5.2,"""Comedy Club"" (2005)",2005.0
75,3.6,"""Comedy Woman"" (2008)",2008.0
70,5.0,"""Daesh molodezh"" (2009)",2009.0
195,6.5,"""Dalnoboyshchiki"" (2001)",2001.0
20,6.1,"""Dalnoboyshiki dva"" (2004)",2004.0
13,4.8,"""Dasha Vasileva. Lyubitelnitsa chastnogo syska 1"" (2003)",2003.0
29,9.5,"""Dead Hand"" (2013)",2013.0
106,4.0,"""Deffchonki"" (2012)",2012.0
7,8.0,"""Delo chesti"" (2013)",2013.0
28,6.8,"""Delo gastronoma No. 1"" (2011)",2011.0
79,6.6,"""Delo o 'Myortvykh dushakh'"" (2005)",2005.0
6,5.3,"""Delo o Maikle Karmane"" (2016)",2016.0
51,5.9,"""Den rozhdeniya Burzhuya 2"" (2001)",2001.0
104,6.6,"""Den rozhdeniya Burzhuya"" (2000)",2000.0
5,8.2,"""Dendy Memories"" (2012)",2012.0
38,6.0,"""Desantura"" (2009)",2009.0
30,2.4,"""Detektivy"" (2006)",2006.0
171,7.3,"""Deti Arbata"" (2004)",2004.0
7,5.9,"""Deti Vanyukhina"" (2005)",2005.0
17,5.6,"""Detka"" (2012)",2012.0
45,7.5,"""Devyat neizvestnykh"" (2006)",2006.0
51,7.9,"""Devyat zhizney Nestora Makhno"" (2007)",2007.0
19,7.2,"""Dikiy"" (2009)",2009.0
240,7.4,"""Diversant 2: Konets voyny"" (2007)",2007.0
382,7.4,"""Diversant"" (2004)",2004.0
12,4.7,"""Dnevnik doktora Zaytsevoy"" (2012)",2012.0
29,6.5,"""Dnevnik ubiytsy"" (2003)",2003.0
5,4.2,"""Dochki-materi"" (2007)",2007.0
42,2.6,"""Doktor Tyrsa"" (2011)",2011.0
396,7.6,"""Doktor Zhivago"" (2006)",2006.0
163,1.1,"""Dom 2"" (2004)",2004.0
9,3.7,"""Dom kuvyrkom"" (2008)",2008.0
5,6.8,"""Dom s liliyami"" (2013)",2013.0
23,4.2,"""Dorogaya Masha Berezina"" (2005)",2005.0
74,6.8,"""Dose detektiva Dubrovskogo"" (1999)",1999.0
93,7.9,"""Dostoevskiy"" (2011)",2011.0
64,2.7,"""Drongo"" (2002)",2002.0
9,4.4,"""Drugaya zhizn"" (2003)",2003.0
8,4.1,"""Druzhba narodov"" (2014)",2014.0
12,7.3,"""Druzhina"" (2015)",2015.0
5,6.0,"""Druzhnaya semeyka"" (2003)",2003.0
11,4.8,"""Durdom"" (2006)",2006.0
5,6.0,"""Dva Antona"" (2009)",2009.0
235,4.9,"""Dva ottsa i dva syna"" (2013)",2013.0
7,5.9,"""Dve legendy"" (2014)",2014.0
8,5.5,"""Dve sestry 2"" (2009)",2009.0
13,5.7,"""Dve sudby"" (2002)",2002.0
22,4.0,"""Dyatlovy"" (2004)",2004.0
7,5.7,"""Dym"" (1992)",1992.0
6,2.2,"""Efrosinya"" (2010)",2010.0
150,8.0,"""Ekaterina"" (2014)",2014.0
94,7.2,"""Ermak"" (1996)",1996.0
504,7.2,"""Esenin"" (2005)",2005.0
18,6.9,"""Eshelon"" (2005)",2005.0
12,3.0,"""Evlampiya Romanova. Sledstvie vedet diletant"" (2003)",2003.0
7,7.6,"""Extreme Collectors"" (2013)",2013.0
8,2.4,"""Fabrika grez"" (2004)",2004.0
114,2.2,"""Fabrika zvezd"" (2002)",2002.0
5,5.2,"""Fabrika zvezd: Vozvrashchenie"" (2011)",2011.0
27,6.7,"""Fartsa"" (2015)",2015.0
11,4.7,"""Fatalisty"" (2003)",2003.0
9,6.9,"""Feaction"" (2016)",2016.0
7,2.4,"""Feechki supervised"" (2015)",2015.0
30,5.6,"""Fiksiki"" (2010)",2010.0
1109,7.3,"""Fizruk"" (2013)",2013.0
11,1.7,"""Flutter Green Reacts"" (2014)",2014.0
6,8.0,"""Furtseva. Legenda o Ekaterine"" (2011)",2011.0
28,5.5,"""Gaishniki"" (2008)",2008.0
28,6.3,"""Galileo"" (2007)",2007.0
9,6.4,"""Galina"" (2008)",2008.0
6,2.2,"""Galygin.ru"" (2010)",2010.0
29,7.8,"""Geheimes Kuba"" (2015)",2015.0
74,7.2,"""Geroy nashego vremeni"" (2006)",2006.0
5,7.0,"""Getery mayora Sokolova"" (2014)",2014.0
16,4.8,"""Geymery"" (2012)",2012.0
290,7.7,"""Gibel imperii"" (2005)",2005.0
8,7.8,"""Glukhar 2. Prodolzhenie"" (2009)",2009.0
458,8.1,"""Glukhar"" (2008)",2008.0
14,7.3,"""Glukhar. Vozvrashchenie"" (2010)",2010.0
78,7.7,"""Gora samotsvetov"" (2005)",2005.0
54,7.8,"""Gora samotsvetov"" (2005) {Zhikharka (#5.1)}",2005.0
10,6.9,"""Gorod soblaznov"" (2009)",2009.0
173,6.6,"""Gorodok"" (1993)",1993.0
13,6.0,"""Goryachev i drugie"" (1992)",1992.0
