name,genre,year
"""Banditskiy Peterburg: Advokat"" (2000)",Romance,2000.0
"""Banditskiy Peterburg: Arestant"" (2003)",Crime,2003.0
"""Banditskiy Peterburg: Arestant"" (2003)",Romance,2003.0
"""Banditskiy Peterburg: Baron"" (2000)",Crime,2000.0
"""Banditskiy Peterburg: Baron"" (2000)",Drama,2000.0
"""Banditskiy Peterburg: Krakh Antibiotika"" (2001)",Crime,2001.0
"""Banditskiy Peterburg: Oper"" (2003)",Crime,2003.0
"""Banditskiy Peterburg: Zhurnalist"" (2003)",Crime,2003.0
"""Bars i Lyalka"" (2014)",Adventure,2014.0
"""Barvikha"" (2009)",Drama,2009.0
"""Barvikha"" (2009)",Romance,2009.0
"""Bashnya"" (2010)",Thriller,2010.0
"""Batyushka"" (2008)",Adventure,2008.0
"""Bayazet"" (2003)",Drama,2003.0
"""Bayazet"" (2003)",War,2003.0
"""Bednaya Nastya"" (2003)",Drama,2003.0
"""Bednaya Nastya"" (2003)",Romance,2003.0
"""Bednye Ludi"" (2016)",Comedy,2016.0
"""Bednye rodstvenniki"" (2012)",Drama,2012.0
"""Beglets"" (2011)",Crime,2011.0
"""Belaya gvardiya"" (2012)",Drama,2012.0
"""Belaya vorona"" (2011)",Drama,2011.0
"""Belka v kolese"" (2007)",Comedy,2007.0
"""Belye volki"" (2012)",Action,2012.0
"""Belye volki"" (2012)",Crime,2012.0
"""Beremennye"" (2015)",Reality-TV,2015.0
"""Beriya. Proigrysh"" (2010)",Drama,2010.0
"""Bes v rebro, ili Velikolepnaya chetvyorka"" (2006)",Comedy,2006.0
"""Bespokoynyy uchastok"" (2014)",Crime,2014.0
"""Bessmertnaya voyna"" (2005)",Documentary,2005.0
"""Besy"" (2006)",Drama,2006.0
"""Besy"" (2014)",Drama,2014.0
"""Besy"" (2014)",Mystery,2014.0
"""Bez antrakta"" (1997)",Family,1997.0
"""Bez prava na vybor"" (2013)",Adventure,2013.0
"""Bez prava na vybor"" (2013)",War,2013.0
"""Bez sleda"" (2012)",Crime,2012.0
"""Bez sroka davnosti"" (2012)",Crime,2012.0
"""Bez svideteley"" (2012)",Drama,2012.0
"""Bezdna"" (2013)",Crime,2013.0
"""Bezhat"" (2011)",Drama,2011.0
"""Bezmolvnyy svidetel"" (2008)",Crime,2008.0
"""Bienie serdtsa"" (2011)",Drama,2011.0
"""Bigabum Lottery TV Show"" (2011)",Talk-Show,2011.0
"""Bigl"" (2012)",Crime,2012.0
"""Bigl"" (2012)",Mystery,2012.0
"""Bilet na dvoikh"" (2013)",Drama,2013.0
"""Bitva tsivilizatsiy"" (2013)",Documentary,2013.0
"""Biznes po-russki"" (2010)",Animation,2010.0
"""Blindazh"" (2012)",War,2012.0
"""Bliznetsy"" (2004)",Crime,2004.0
"""Bludnye deti"" (2009)",Drama,2009.0
"""Blyustiteli poroka"" (2000)",Drama,2000.0
"""Blyustiteli poroka"" (2000)",Horror,2000.0
"""Blyustiteli poroka"" (2000)",Mystery,2000.0
"""Blyustiteli poroka"" (2000)",Thriller,2000.0
"""Boets"" (2004)",Crime,2004.0
"""Bogini provaosudiya"" (2011)",Drama,2011.0
"""Boginya praym-tayma"" (2006)",Romance,2006.0
"""Bol'shaya raznitsa"" (2008)",Comedy,2008.0
"""Bol'shaya raznitsa"" (2008)",Family,2008.0
"""Bol'shaya raznitsa"" (2008)",Talk-Show,2008.0
"""Bolshaya igra"" (2008)",Mystery,2008.0
"""Bolshaya neft"" (2009)",Drama,2009.0
"""Bolshaya progulka"" (2005)",Comedy,2005.0
"""Bolshaya progulka"" (2005)",Drama,2005.0
"""Bolshaya progulka"" (2005)",Thriller,2005.0
"""Bolshie devochki"" (2006)",Drama,2006.0
"""Bolshoy brat"" (2005)",Reality-TV,2005.0
"""Bolshoy den'"" (2007)",Comedy,2007.0
"""Bombila"" (2011)",Action,2011.0
"""Bombila. Prodolzhenie"" (2013)",Crime,2013.0
"""Born in the USSR"" (1991)",Documentary,1991.0
"""Born in the USSR"" (1991) {Born in the USSR: 28 Up (#1.4)}",Documentary,1991.0
"""Boyaka mukhi ne obidit"" (1993)",Animation,1993.0
"""Boyaka mukhi ne obidit"" (1993)",Short,1993.0
"""Brachnyy kontrakt"" (2009)",Comedy,2009.0
"""Brak po zaveshchaniyu"" (2010)",Drama,2010.0
"""Brat i sestra"" (2012)",Drama,2012.0
"""Bratany 2"" (2010)",Thriller,2010.0
"""Bratany 3"" (2012)",Thriller,2012.0
"""Bratya Karamazovy"" (2009)",Drama,2009.0
"""Bratya piloty"" (1995)",Animation,1995.0
"""Bratya po obmenu"" (2013)",Comedy,2013.0
"""Bratya po-raznomu"" (2006)",Comedy,2006.0
"""Bratya"" (2011)",Action,2011.0
"""Brezhnev"" (2005)",Drama,2005.0
"""Brigada"" (2002)",Crime,2002.0
"""Brigada"" (2002)",Drama,2002.0
"""Broken Silence"" (2002)",Documentary,2002.0
"""Brony-Ponies"" (2015)",Animation,2015.0
"""Brony-Ponies"" (2015)",Comedy,2015.0
"""Brony-Ponies"" (2015)",Short,2015.0
"""Bronyahi"" (2016)",Animation,2016.0
"""Bronyahi"" (2016)",Comedy,2016.0
"""Bronyahi"" (2016)",Crime,2016.0
"""Bronyahi"" (2016)",Reality-TV,2016.0
"""Bronyahi"" (2016)",Short,2016.0
"""Bronylogy"" (2014)",Action,2014.0
"""Bronylogy"" (2014)",Comedy,2014.0
"""Bronylogy"" (2014)",Horror,2014.0
"""Bronylogy"" (2014)",Short,2014.0
"""Bronylogy"" (2014)",Thriller,2014.0
"""Budet svetlym den"" (2013)",Romance,2013.0
"""Buhanki"" (2016)",Action,2016.0
"""Buhanki"" (2016)",Adventure,2016.0
"""Buhanki"" (2016)",Animation,2016.0
"""Buhanki"" (2016)",Comedy,2016.0
"""Buhanki"" (2016)",Short,2016.0
"""Bukhta strakha"" (2008)",Crime,2008.0
"""Bukhta strakha"" (2008)",Mystery,2008.0
"""Bumerang iz proshlogo"" (2010)",Drama,2010.0
"""Bunker ili Uchenye pod zemley"" (2006)",Sci-Fi,2006.0
"""Burovaya"" (2002)",Drama,2002.0
"""Byk i Shpindel"" (2015)",Drama,2015.0
"""Byla lyubov"" (2010)",Drama,2010.0
"""Byla tebe lyubimaya"" (2011)",Romance,2011.0
"""Byvshaya zhena"" (2013)",Drama,2013.0
"""CARenina"" (2005)",Documentary,2005.0
